Species,Treatment,Core,Timepoint,Sym.Host.old,Sym.Host,logSH,Y2,PropD.old,PropD,Batch,DHW,Recov.Days,Date,InitialDom,PropDAv,Colony
O.faveolata,Bleached,1-64-c,Pre-bleach,1.057648399,0.020358545,-1.691253269,0.561,0.999307087,0.9713626,2,0,NaN,17/11/2019,D,0.976918506,64
O.faveolata,Bleached,1-64-c,Pre-outplant,1.316639234,0.024635116,-1.608445383,0.278,1,1,2,NaN,78,05/03/2020,D,1,64
O.faveolata,Bleached,1-64-c,Recovery,3.526800804,0.065988576,-1.180531244,0.264,1,1,2,NaN,31,19/01/2020,D,1,64
O.faveolata,Bleached,1-64-d,Post-bleach,0.170975332,0.003199052,-2.49497872,1.08E-01,1,1,2,13.29,NaN,19/12/2019,NA,NA,64
O.faveolata,Bleached,1-64-d,Pre-bleach,0.492393599,0.018516459,-1.732442054,0.554,0.975677444,0.485454513,2,0,NaN,17/11/2019,NA,NA,64
O.faveolata,Bleached,1-64-d,Pre-outplant,0,0,-6.5,0.31,NaN,NA,2,NaN,78,05/03/2020,NA,NA,64
O.faveolata,Bleached,1-64-d,Recovery,0.808522649,0.015127948,-1.820219985,0.311,1,1,2,NaN,31,19/01/2020,NA,NA,64
O.faveolata,Bleached,1-65-a,Post-bleach,0.006876357,0.000128661,-3.89055378,0.239,1,1,1,10.64,NaN,21/06/2019,D,1,65
O.faveolata,Bleached,1-65-a,Pre-bleach,0.782607094,0.014643052,-1.834368395,0.482,1,1,1,0,NaN,22/05/2019,D,0.976918506,65
O.faveolata,Bleached,1-65-a,Pre-outplant,0.204101699,0.003818866,-2.418065556,0.378,1,1,1,NaN,54,14/08/2019,D,1,65
O.faveolata,Bleached,1-65-a,Recovery,0.372125225,0.006962688,-2.157223065,0.389,1,1,1,NaN,31,22/07/2019,D,1,65
O.faveolata,Control,1-65-b,Post-bleach,0.34361385,0.006429223,-2.191841514,NA,1,1,1,NaN,NaN,07/06/2019,NA,NA,65
O.faveolata,Control,1-65-b,Pre-bleach,0.38285237,0.007163399,-2.144880835,NA,1,1,1,NaN,NaN,22/05/2019,NA,NA,65
O.faveolata,Control,1-65-b,Pre-outplant,1.641324041,0.030710165,-1.512717844,NA,1,1,1,NaN,NaN,14/08/2019,NA,NA,65
O.faveolata,Bleached,1-65-c,Post-bleach,0.012738684,0.000238348,-3.622787599,1.17E-01,1,1,2,13.29,NaN,19/12/2019,D,1,65
O.faveolata,Bleached,1-65-c,Pre-bleach,0.46389175,0.008679695,-2.061495526,0.544,1,1,2,0,NaN,17/11/2019,D,0.976918506,65
O.faveolata,Bleached,1-65-c,Pre-outplant,1.429350858,0.026744019,-1.572773328,0.294,1,1,2,NaN,78,05/03/2020,D,1,65
O.faveolata,Bleached,1-65-c,Recovery,1.23444289,0.023097173,-1.636441172,0.238,1,1,2,NaN,31,19/01/2020,D,1,65
O.faveolata,Bleached,1-65-d,Post-bleach,0.04925316,0.000921556,-3.035478077,1.14E-01,1,1,2,13.29,NaN,19/12/2019,D,1,65
O.faveolata,Bleached,1-65-d,Pre-bleach,0.652640351,0.012211296,-1.913238253,0.555,1,1,2,0,NaN,17/11/2019,D,0.976918506,65
O.faveolata,Bleached,1-65-d,Pre-outplant,0.531396302,0.009942746,-2.002493647,0.377,1,1,2,NaN,78,05/03/2020,D,1,65
O.faveolata,Bleached,1-65-d,Recovery,0.378498659,0.007081939,-2.14984783,0.284,1,1,2,NaN,31,19/01/2020,D,1,65
O.faveolata,Bleached,1-66-a,Post-bleach,0.018342831,0.000343205,-3.464445821,0.232,1,1,1,12.64,NaN,25/06/2019,D,1,66
O.faveolata,Bleached,1-66-a,Pre-bleach,0.168325246,0.003126708,-2.50491271,0.519,0.992773569,1,1,0,NaN,22/05/2019,D,0.976918506,66
O.faveolata,Bleached,1-66-a,Pre-outplant,0.377450691,0.007062331,-2.15105195,0.355,1,1,1,NaN,50,14/08/2019,D,1,66
O.faveolata,Bleached,1-66-a,Recovery,1.564129641,0.029265812,-1.533639429,0.371,1,1,1,NaN,31,26/07/2019,D,1,66
O.faveolata,Bleached,1-66-b,Post-bleach,0.063895587,0.001195525,-2.922441314,0.343,1,1,1,13.64,NaN,01/07/2019,D,1,66
O.faveolata,Bleached,1-66-b,Pre-bleach,0.697545917,0.013051506,-1.884339374,0.551,1,1,1,0,NaN,22/05/2019,D,0.976918506,66
O.faveolata,Bleached,1-66-b,Pre-outplant,0.572108266,0.010704492,-1.970433953,0.393,1,1,1,NaN,44,14/08/2019,D,1,66
O.faveolata,Bleached,1-66-b,Recovery,0.726160365,0.0135869,-1.866879634,0.36,1,1,1,NaN,31,01/08/2019,D,1,66
O.faveolata,Bleached,1-66-c,Post-bleach,0.0467257,0.000874266,-3.058356357,1.14E-01,1,1,2,13.29,NaN,19/12/2019,D,1,66
O.faveolata,Bleached,1-66-c,Pre-bleach,1.070555874,0.020030748,-1.698302837,0.575,1,1,2,0,NaN,17/11/2019,D,0.976918506,66
O.faveolata,Bleached,1-66-c,Pre-outplant,0.562864706,0.010531539,-1.977508158,0.397,1,1,2,NaN,78,05/03/2020,D,1,66
O.faveolata,Bleached,1-66-c,Recovery,0.437501568,0.008185919,-2.086932561,0.349,1,1,2,NaN,31,19/01/2020,D,1,66
O.faveolata,Control,1-66-d,Post-bleach,0.38298508,0.007165882,-2.14473032,NA,1,1,2,NaN,NaN,06/12/2019,NA,NA,66
O.faveolata,Control,1-66-d,Pre-bleach,1.302569267,0.024371859,-1.613111348,NA,1,1,2,NaN,NaN,17/11/2019,NA,NA,66
O.faveolata,Control,1-66-d,Pre-outplant,1.517672068,0.028396562,-1.546734234,NA,1,1,2,NaN,NaN,05/03/2020,NA,NA,66
O.faveolata,Bleached,1-81-a,Post-bleach,0,0,-6.5,0.251,NaN,NA,1,11.64,NaN,23/06/2019,B,0.303637583,81
O.faveolata,Bleached,1-81-a,Pre-bleach,0.145825861,0.072196172,-1.14148583,0.544,0.386768336,0.014617029,1,0,NaN,22/05/2019,B,0.015152066,81
O.faveolata,Bleached,1-81-a,Pre-outplant,0.743219414,0.013906085,-1.856795129,0.344,1,1,1,NaN,52,14/08/2019,B,0.758547582,81
O.faveolata,Bleached,1-81-a,Recovery,1.36638126,0.02556582,-1.592340278,0.381,1,1,1,NaN,31,24/07/2019,B,0.753003749,81
O.faveolata,Bleached,1-81-b,Post-bleach,0.009637403,0.000180322,-3.743952172,0.268,1,1,1,10.64,NaN,21/06/2019,B,0.303637583,81
O.faveolata,Bleached,1-81-b,Pre-bleach,0.244965272,0.171706861,-0.765212351,0.535,0.121768337,0.003250417,1,0,NaN,22/05/2019,B,0.015152066,81
O.faveolata,Bleached,1-81-b,Pre-outplant,0.528091598,0.009880913,-2.005202917,0.383,1,1,1,NaN,54,14/08/2019,B,0.758547582,81
O.faveolata,Bleached,1-81-b,Recovery,0.002143019,4.01E-05,-4.396886233,0.422,1,1,1,NaN,31,22/07/2019,B,0.753003749,81
O.faveolata,Bleached,1-81-c,Post-bleach,0.032416229,0.000606527,-3.21714968,2.96E-01,1,1,2,12,NaN,17/12/2019,B,0.303637583,81
O.faveolata,Bleached,1-81-c,Pre-bleach,0.349360042,0.144464594,-0.840238579,0.608,0.491776117,0.022251898,2,0,NaN,17/11/2019,B,0.015152066,81
O.faveolata,Bleached,1-81-c,Pre-outplant,0.657179824,0.012296232,-1.910227954,0.386,1,1,2,NaN,80,05/03/2020,B,0.758547582,81
O.faveolata,Bleached,1-81-c,Recovery,0.260410603,0.00487244,-2.312253513,0.28,1,1,2,NaN,31,17/01/2020,B,0.753003749,81
O.faveolata,Control,1-81-d,Post-bleach,0.195206495,0.113075268,-0.946632375,NA,0.27841081,0.008992916,2,NaN,NaN,06/12/2019,NA,NA,81
O.faveolata,Control,1-81-d,Pre-bleach,0.524265784,0.192691428,-0.715137606,NA,0.550948662,0.028047107,2,NaN,NaN,17/11/2019,NA,NA,81
O.faveolata,Control,1-81-d,Pre-outplant,0.626695484,0.465480951,-0.332098087,NA,0.067945584,0.001711606,2,NaN,NaN,05/03/2020,NA,NA,81
S.siderea,Bleached,2-16-a,Post-bleach,0.003879402,6.82E-05,-4.166447771,0.222,0.939073625,1,1,5.36,NaN,07/06/2019,C,0.25,16
S.siderea,Bleached,2-16-a,Pre-bleach,0.035399772,0.003034989,-2.51784284,0.518,0.162665049,0.035499757,1,0,NaN,22/05/2019,C,0.026683691,16
S.siderea,Bleached,2-16-a,Pre-outplant,0.01388682,0.000259831,-3.585309364,0.316,1,1,1,NaN,66,14/08/2019,C,0.494825339,16
S.siderea,Bleached,2-16-a,Recovery,0.113822691,0.002129691,-2.671683328,0.406,1,1,1,NaN,31,10/07/2019,C,0.666666667,16
S.siderea,Control,2-16-b,Post-bleach,0.130547843,0.008652194,-2.062873774,NA,0.405763096,0.114552309,1,NaN,NaN,07/06/2019,NA,NA,16
S.siderea,Control,2-16-b,Pre-bleach,0.032877801,0.001600707,-2.795688032,NA,0.625508977,0.240387655,1,NaN,NaN,22/05/2019,NA,NA,16
S.siderea,Control,2-16-b,Pre-outplant,0.009970133,0.000760513,-3.118893325,NA,0.227593549,0,1,NaN,NaN,14/08/2019,NA,NA,16
