Species,Core,Colony,Timepoint,PropD,PropD0
M.cavernosa,3-39-b,39,2,0.168923979,0
M.cavernosa,3-39-b,39,3,0.251152761,0
M.cavernosa,3-39-c,39,1,0,0
M.cavernosa,3-39-c,39,2,NA,0
M.cavernosa,3-39-c,39,3,0.998789466,0
M.cavernosa,3-39-d,39,1,0,0
M.cavernosa,3-39-d,39,2,0.99064119,0
M.cavernosa,3-39-d,39,3,0.998831463,0
M.cavernosa,3-67-b,67,1,0,0
M.cavernosa,3-67-b,67,2,0,0
M.cavernosa,3-67-b,67,3,0.96319597,0
M.cavernosa,3-67-c,67,1,0,0
M.cavernosa,3-67-c,67,2,NA,0
M.cavernosa,3-67-c,67,3,1,0
M.cavernosa,3-67-d,67,1,0,0
M.cavernosa,3-67-d,67,2,NA,0
M.cavernosa,3-67-d,67,3,0.990972618,0
M.cavernosa,3-68-a,68,1,0,0
M.cavernosa,3-68-a,68,2,NA,0
M.cavernosa,3-68-a,68,3,NA,0
M.cavernosa,3-68-c,68,1,0,0
M.cavernosa,3-68-c,68,2,NA,0
M.cavernosa,3-68-c,68,3,0.995272576,0
M.cavernosa,3-71-a,71,1,0,0
M.cavernosa,3-71-a,71,2,0,0
M.cavernosa,3-71-a,71,3,0.963489697,0
M.cavernosa,3-71-b,71,1,0,0
M.cavernosa,3-71-b,71,2,0,0
M.cavernosa,3-71-b,71,3,0.980611304,0
M.cavernosa,3-71-c,71,1,1,0
M.cavernosa,3-71-c,71,2,NA,0
M.cavernosa,3-71-c,71,3,1,0
M.cavernosa,3-71-d,71,1,0,0
M.cavernosa,3-71-d,71,2,0,0
M.cavernosa,3-71-d,71,3,1,0
M.cavernosa,3-72-a,72,1,0,0
M.cavernosa,3-72-a,72,2,0,0
M.cavernosa,3-72-a,72,3,0.994070908,0
M.cavernosa,3-72-b,72,1,0,0
M.cavernosa,3-72-b,72,2,0,0
M.cavernosa,3-72-b,72,3,0.99899969,0
M.cavernosa,3-72-c,72,1,0,0.043286258
M.cavernosa,3-72-c,72,2,1,0.043286258
M.cavernosa,3-72-c,72,3,1,0.043286258
M.cavernosa,3-87-b,87,1,0,0
M.cavernosa,3-87-b,87,2,0.256799866,0
M.cavernosa,3-87-b,87,3,0.936332573,0
M.cavernosa,3-87-c,87,1,NA,0
M.cavernosa,3-87-c,87,2,NA,0
M.cavernosa,3-87-c,87,3,1,0
